
Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,FLA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
1980,163,,81,64,89,,93,92,,,67,91,83,73,75,74,90
1979,162,,66,80,90,,89,79,,,63,84,98,68,71,86,95
1978,162,,69,79,92,,74,95,,,66,90,88,84,89,69,76
1977,162,,61,81,88,,81,98,,,64,101,96,69,75,83,75
1976,162,,70,75,102,,80,92,,,86,101,92,73,74,72,55
1975,162,,67,75,108,,64,88,,,82,86,92,71,80,82,75
1974,162,,88,66,98,,81,102,,,71,80,88,60,72,86,79
1973,162,,76,77,99,,82,95,,,82,71,80,60,88,81,79
1972,156,,70,85,95,,84,85,,,83,59,96,58,69,75,70
1971,162,,82,83,79,,79,89,,,83,67,97,61,90,90,71
1970,162,,76,84,102,,79,87,,,83,73,89,63,86,76,73
1969,162,,93,92,89,,81,85,,,100,63,88,52,90,87,52
1968,162,,81,84,83,,72,76,,,73,76,80,,88,97,
1967,162,,77,87,87,,69,73,,,61,82,81,,91,101,
1966,162,,85,59,76,,72,95,,,66,87,92,,93,83,
1965,162,,86,72,89,,65,97,,,50,85,90,,95,80,
Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,FLA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
1964,162,,88,76,92,,66,80,,,53,92,80,,90,93,
1963,162,,84,82,86,,66,99,,,51,87,74,,88,93,
1962,165,,86,59,98,,64,102,,,40,81,93,,103,84,
1961,154,,83,64,93,,,89,,,,47,75,,85,80,
1960,154,,88,60,67,,,82,,,,59,95,,79,86,
1959,156,,86,74,74,,,88,,,,64,78,,83,71,
1958,154,,92,72,76,,,71,,,,69,84,,80,72,
1957,154,,95,62,80,,,84,,,,77,62,,69,87,
1956,154,,92,60,91,,,93,,,,71,66,,67,76,
1955,154,,85,72,75,,,98,,,,77,60,,80,68,
1954,154,,89,64,74,,,92,,,,75,53,,97,72,
1953,154,,92,65,68,,,105,,,,83,50,,70,83,
1952,154,,64,77,69,,,96,,,,87,42,,92,88,
1951,157,,76,62,68,,,97,,,,73,64,,98,81,
1950,154,,83,64,66,,,89,,,,91,57,,86,78,
1949,154,,75,61,62,,,97,,,,81,71,,73,96,
1948,154,,91,64,64,,,84,,,,66,83,,78,85,
1947,154,,86,69,73,,,94,,,,62,62,,81,89,
1946,156,,81,82,67,,,96,,,,69,63,,61,98,
1945,154,,67,98,61,,,87,,,,46,82,,78,95,
1944,154,,65,75,89,,,63,,,,61,90,,67,105,
1943,154,,68,74,87,,,81,,,,64,80,,55,105,
1942,154,,59,68,76,,,104,,,,42,66,,85,106,
1941,154,,62,70,88,,,100,,,,43,81,,74,97,
1940,154,,65,75,100,,,88,,,,50,78,,72,84,
Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,FLA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
1939,154,,63,84,97,,,84,,,,45,68,,77,92,
1938,152,,77,89,82,,,69,,,,45,86,,83,71,
1937,154,,79,93,56,,,62,,,,61,86,,95,81,
1936,154,,71,87,74,,,67,,,,54,84,,92,87,
1935,154,,38,100,68,,,70,,,,64,86,,91,96,
1934,153,,78,86,52,,,71,,,,56,74,,93,95,
1933,154,,83,86,58,,,65,,,,60,87,,91,82,
1932,154,,77,90,60,,,81,,,,78,86,,72,72,
1931,154,,64,84,58,,,79,,,,66,75,,87,101,
1930,154,,70,90,59,,,86,,,,52,80,,87,92,
1929,154,,56,98,66,,,70,,,,71,88,,84,78,
1928,154,,50,91,78,,,77,,,,43,85,,93,95,
1927,154,,60,85,75,,,65,,,,51,94,,92,92,
1926,154,,66,82,87,,,71,,,,58,84,,74,89,
1925,154,,70,68,80,,,68,,,,68,95,,86,77,
1924,154,,53,81,83,,,92,,,,55,90,,93,65,
1923,154,,54,83,91,,,76,,,,50,87,,95,79,
1922,154,,53,80,86,,,76,,,,57,85,,93,85,
1921,154,,79,64,70,,,77,,,,51,90,,94,87,
1920,154,,62,75,82,,,93,,,,62,79,,86,75,
1919,140,,57,75,96,,,69,,,,47,71,,87,54,
1918,129,,53,84,68,,,57,,,,55,65,,71,51,
1917,154,,72,74,78,,,70,,,,87,51,,98,82,
1916,154,,89,67,60,,,94,,,,91,65,,86,60,
1915,154,,83,73,71,,,80,,,,90,73,,69,72,
Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,FLA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
1914,154,,94,78,60,,,75,,,,74,69,,84,81,
1913,153,,69,88,64,,,65,,,,88,78,,101,51,
1912,153,,52,91,75,,,58,,,,73,93,,103,63,
1911,154,,44,92,70,,,64,,,,79,85,,99,75,
1910,154,,53,104,75,,,64,,,,78,86,,91,63,
1909,153,,45,104,77,,,55,,,,74,110,,92,54,
1908,154,,63,99,73,,,53,,,,83,98,,98,49,
1907,154,,58,107,66,,,65,,,,83,91,,82,52,
1906,153,,49,116,64,,,66,,,,71,93,,96,52,
1905,154,,51,92,79,,,48,,,,83,96,,105,58,
1904,154,,55,93,88,,,56,,,,52,87,,106,75,
1903,140,,58,82,74,,,70,,,,49,91,,84,43,
1902,140,,73,68,70,,,75,,,,56,103,,48,56,
1901,140,,69,53,52,,,79,,,,83,90,,52,76,
